region,norm_mean_SUVR,norm_mean_TauZ,path_95CI_SUVR,path_95CI_TauZ
ctx_rh_parsopercularis,1.1035671312143327,2.959358575869311e-15,2.59203936918,15.105755213772152
ctx_rh_parsorbitalis,1.1610575005446995,1.2117783090482329e-15,2.57171358483,11.936671591363575
ctx_rh_parstriangularis,1.128290260688777,-2.415845301584341e-16,2.49742241313,13.854182381022472
ctx_rh_pericalcarine,1.121006595433513,-4.299024296709222e-16,2.7534899856,17.48458023242389
ctx_rh_postcentral,0.9813659198964793,-5.616938622609487e-17,2.37732591945,17.01164290655672
ctx_rh_posteriorcingulate,1.122019498381321,6.473491301935837e-16,2.73879955732,16.207303155434797
ctx_rh_precentral,1.011283421365298,2.637065823439547e-16,2.27198498671,15.57192094866175
ctx_rh_precuneus,1.1277307222553994,-5.927775882314517e-16,3.23233011238,22.697267948764445
ctx_rh_rostralanteriorcingulate,1.1176054716682327,9.256112266606668e-16,2.5385322670900003,11.47994103433111
ctx_rh_rostralmiddlefrontal,1.0989516328877758,-2.924044180082717e-16,2.7808398160900003,15.063081502822103
ctx_rh_superiorfrontal,1.0441857303736022,1.1273746955692613e-15,2.29518221473,11.9327673256555
ctx_rh_superiorparietal,1.0477487575203004,-7.26433467869751e-16,3.04096715902,20.26345331754276
ctx_rh_superiortemporal,1.081864194664531,1.3035696411809067e-15,2.28811188559,13.9618792610354
ctx_rh_supramarginal,1.0853852219460511,-5.560769236383393e-16,2.96756192973,21.021133765891324
ctx_rh_temporalpole,1.117736861853961,1.7368822429691337e-15,2.0460488627,8.540775461021612
ctx_rh_transversetemporal,1.0025703863470443,3.871327345269591e-16,2.36075586536,12.469169726743338
Left_Accumbens_area,1.3131276476642402,-9.431983218054428e-16,2.13234124135,6.078729976552741
Left_Amygdala,1.2312256348229158,-5.34888118927213e-16,2.4000059135,9.164028540877043
Left_Caudate,1.3697613079865771,6.620966401400934e-16,1.27249492843,-0.4219968736981912
Left_Cerebellum_Cortex,1.02213043986717,-2.0291190774176775e-15,1.16309951299,7.1175076823943435
Left_Cerebral_White_Matter,1.177370864355314,5.191533620057439e-16,2.14249818583,9.878457267809218
Left_choroid_plexus,1.1221984573381452,0.0,2.81613598203,8.048098882426002
Left_Hippocampus,1.2336584470610936,-1.8521256145405454e-16,1.91607418545,5.572842555658301
Left_Lateral_Ventricle,0.8407480716884853,6.804173858521427e-16,0.694465396344,-1.4220979502152538
Left_Pallidum,1.5583569277906597,-1.9344618984044612e-16,2.36514796741,5.110421798097831
Left_Putamen,1.4897441907715652,2.2095684647704928e-15,2.27990446274,5.373332845239957
Left_Thalamus_Proper,1.2079744171462405,1.0867124193978004e-15,1.6237703999200002,4.367109221592466
Left_VentralDC,1.2721020609912403,-3.737627901285134e-16,1.67816312789,4.54776885533962
Left_vessel,1.4212725114582554,-5.366865344570969e-16,2.09588475121,4.781355775358191
Right_Accumbens_area,1.289969033875433,-7.137148015447435e-17,2.12457746453,6.641846645768624
Right_Amygdala,1.2225428060732149,3.7402793078054963e-16,2.33133544345,9.058764492019098
Right_Caudate,1.107599832376841,-6.32933083815996e-16,1.6957310492500002,4.65303860235035
Right_Cerebellum_Cortex,1.0162428745989225,9.277787314065002e-16,1.1037037391700002,5.277581297908142
Right_Cerebral_White_Matter,1.1816266385797416,5.736351472767225e-16,2.19778458205,10.411977587153588
Right_choroid_plexus,1.1484481511910325,-6.897078122646069e-16,2.6624951603,7.339502034808955
Right_Hippocampus,1.240679508607623,-6.02657214701976e-16,1.94234600231,5.524927025363325
Right_Inf_Lat_Vent,1.223064804276778,4.2252293504069386e-17,1.990979149,4.9582833989604405
Right_Lateral_Ventricle,0.8629831094857378,-1.023836795043372e-17,0.7221612376450001,-1.2947282935623305
Right_Pallidum,1.5527664551498928,-3.202016620378134e-16,2.31132158052,5.0386108780588925
Right_Putamen,1.5027935503332739,6.325306253057272e-16,2.46131260258,5.788821061566006
Right_Thalamus_Proper,1.1950121179432225,-1.371081328935494e-16,1.5990190469,4.41191876833115
Right_VentralDC,1.2657738274952914,-1.5503518669676383e-15,1.6424058676299995,4.905402941262031
Right_vessel,1.3999916230520335,-1.3342413593717436e-15,2.06792879995,5.157761038436421
