region,one_comp_C0mean,one_comp_C0cov,two_comp_C0mean,two_comp_C0cov,two_comp_C1mean,two_comp_C1cov
ctx_lh_insula,1.196987637322688,0.042482296218193,1.1288778417235603,0.010652104352212631,1.489158600708898,0.07376086823556986
ctx_lh_isthmuscingulate,1.273488495685053,0.16292756321074614,1.1109635384361192,0.009838016263118346,1.810633607184174,0.29306427915483285
ctx_lh_lateraloccipital,1.2634589162497183,0.1533245551464427,1.1196827106590206,0.008526986287612143,1.8493157469493595,0.3158827212587653
ctx_lh_lateralorbitofrontal,1.2644776110808187,0.06106821665654777,1.1951791375898635,0.01202099218156505,1.6754150033990907,0.15456957471132876
ctx_lh_lingual,1.1876984061978941,0.0781607306233134,1.099114809799136,0.007007627639416174,1.606242490875486,0.2020930811621211
ctx_lh_medialorbitofrontal,1.1921320951207137,0.04709128742176601,1.1378349669702994,0.012907310029477917,1.5273093809169138,0.12756670408045473
ctx_lh_middletemporal,1.377631737043581,0.19961449950557134,1.1618950845546165,0.007705131148617856,1.9009215410362725,0.2783839462364682
ctx_lh_paracentral,1.0922910953026308,0.03445337250627927,1.0529862658306326,0.010995769773515402,1.4193398421426777,0.10982458477755162
ctx_lh_parahippocampal,1.2462249723786272,0.07611562231740679,1.1078207317803481,0.009117537876050076,1.526130076551351,0.09452386939889466
ctx_lh_parsopercularis,1.1966690698172302,0.09698608635784056,1.0926022116246061,0.009264352400470556,1.7157386885512917,0.21107750449864762
ctx_lh_parsorbitalis,1.203513938203203,0.06481063055678762,1.1458258304796785,0.014660374506518132,1.6779874071328844,0.22479018585694374
ctx_lh_parstriangularis,1.1904072274444557,0.06703231031835767,1.1204020933973946,0.00987831140367705,1.6476058680318042,0.19926423593538167
ctx_lh_pericalcarine,1.1628805783505074,0.043050815519282075,1.1241253409910286,0.009901246705256907,1.6304012753345627,0.2062535019951992
ctx_lh_postcentral,1.0345866111210331,0.046202443694585274,0.9819552983393804,0.006687641673094481,1.4310171343372442,0.16581472943653705
ctx_lh_posteriorcingulate,1.25040619756934,0.11399664082441323,1.1220819858446323,0.009813631237526427,1.7175613295649383,0.21508621840921466
ctx_lh_precentral,1.0790744351990518,0.04617863264108591,1.0131361866506583,0.006553107001230395,1.4007295339794856,0.11480557160549608
ctx_lh_precuneus,1.317038465225331,0.22194084837101574,1.132509842063132,0.008759109851238213,1.9748902728701403,0.4277806513909091
ctx_lh_rostralanteriorcingulate,1.1494484877836508,0.046464834823752695,1.1030669801065824,0.01356766611510011,1.513526330454233,0.1552564020132717
ctx_lh_rostralmiddlefrontal,1.1995810743194564,0.11860208344631645,1.0834819652242367,0.010280964850368864,1.7317914514482604,0.27012030794506336
ctx_lh_superiorfrontal,1.1297609611335409,0.07269334117951527,1.0346045609862242,0.009525292618790858,1.5074826148553693,0.14482151639932075
ctx_lh_superiorparietal,1.2125988517276924,0.18600141819790175,1.051863110720899,0.008742263112753803,1.8462285805155343,0.38143383828487143
ctx_lh_superiortemporal,1.1959786043566323,0.08330157743878584,1.0799086266966966,0.007666341005422493,1.5845236661723745,0.14042537855945517
ctx_lh_supramarginal,1.2539548961962983,0.17350365812311375,1.083096695011458,0.007232093900326574,1.7895317193456657,0.31635285663335433
ctx_lh_temporalpole,1.2258884975775712,0.06294681830356803,1.117067211992681,0.01059267056846761,1.5039427854568488,0.0891469047567619
