region,C0_mean,C1_mean,C0_cov,C1_cov
Brain_Stem,,,,
CC_Anterior,,,,
ctx_rh_parsopercularis,1.1031400043897452,1.7103438625852505,0.009679088419193493,0.20274150848836417
ctx_rh_parsorbitalis,1.1595579609284903,1.7030666481471428,0.013728984632213453,0.169989079606462
ctx_rh_parstriangularis,1.1274360390575298,1.6360770041639885,0.009590145968081928,0.17182795480973873
ctx_rh_pericalcarine,1.1204544367370568,1.649148806629613,0.008630607496394762,0.23227753615092475
ctx_rh_postcentral,0.9809841159780824,1.4505189434621524,0.006663506915358809,0.1591234656520268
ctx_rh_posteriorcingulate,1.1220340605136931,1.720374718898677,0.009892809680064733,0.22012691952215444
ctx_rh_precentral,1.0116385535150818,1.4134135688092309,0.006574419536079169,0.11990678335369187
ctx_rh_precuneus,1.1275855164436726,1.9426333178499082,0.008473277332833849,0.4401883121396408
ctx_rh_rostralanteriorcingulate,1.1160799804066253,1.5707827605939464,0.015057911358436227,0.1719429154331223
ctx_rh_rostralmiddlefrontal,1.097403940300266,1.7958876064291271,0.01228824016427175,0.24347439870630838
ctx_rh_superiorfrontal,1.043385456945644,1.5614833559723922,0.011062635378194541,0.14153375046822794
ctx_rh_superiorparietal,1.0467115313775093,1.848920985920549,0.009440036874988246,0.37865514271419987
ctx_rh_superiortemporal,1.081775582001965,1.5719080423660277,0.007429330142622411,0.14057485640772596
ctx_rh_supramarginal,1.0859222291070008,1.8259325333598972,0.008052235353894885,0.3297056255133332
